project_name,property_type,property,location_area,location,total_price,price_sqft,area(sq-ft),bhk,bath,area_type,parking,covered_parking,open_parking,extra_room,pooja_room,servant_room,study_room,extra_rooms,furnished_status,property_status,marble_floor,lat,long_,property_link,property_description,builtup_area
,house,"3 BHK House for Sale in Jawahar Nagar, Jaipur",central jaipur, Jawahar Nagar,30000000.0,16666.0,1800,3.0,2.0,Plot Area,1 Covered + 1 Open,1.0,1.0,Study Room,0.0,0.0,1.0,0.0,unfurnished,Ready To Move,,26.88928130553809,75.83604209125042,https://www.squareyards.com/resale-3-bhk-study-room-1800-sq-ft-independent-house-in-jns1-h4s-bchagy/9664345,"For those seeking a well-located independent house in Jaipur, this unfurnished 3-bedroom, 2-bathroom property in Jawahar Nagar presents a compelling prospect for sale at 3 crore.Spread across 1800 square feet with road view, this home offers a comfortable living space across two floors, with the house situated on the ground floor and boasting a private parking spot for one vehicle.",1260.0
,house,"6+ BHK House for Sale in Vardhman Nagar, Jaipur",mansarovar, Vardhman Nagar,33000000.0,14102.0,2340,6.0,6.0,Built-up Area,3 Covered + 1 Open,3.0,1.0,,0.0,0.0,0.0,0.0,semi-furnished,Ready To Move,Marble Flooring,26.8823937,75.7356953,https://www.squareyards.com/resale-6-bhk-260-sq-yd-independent-house-in-individual-house/9635116,"Finding a spacious home in a prime location like Vardhman Nagar, Jaipur, can transform your lifestyle and investment potential.This 6+ bedroom, 6-bathroom independent house offers an expansive 260 square yards of living space, perfect for a large family or those who love to entertain. Priced at 3.3 crore, this freehold property boasts a road view and comes semi-furnished, meaning you",2340.0
,house,"4 BHK House for Sale in Jagatpura, Jaipur",jagatpura, Jagatpura,17500000.0,6481.0,2700,4.0,4.0,Built-up Area,1 Covered + 1 Open,1.0,1.0,Study Room,0.0,0.0,1.0,0.0,furnished,,,26.802983055747617,75.87429005652666,https://www.squareyards.com/resale-4-bhk-study-room-2700-sq-ft-independent-house-in-jagatpura/9465714,"A remarkable 4-bedroom independent house in Jaipur Jagatpura locality is now available for sale at 1.75 crore, offering a spacious 2700 square feet of living space that promises comfort and ample room for your family to grow.This furnished home, less than a year old, comes with a fantastic array of amenities designed for a modern lifestyle including a swimming pool,",2700.0
Sky Palacio,house,"2 BHK House for Sale in Hanuman Nagar, Jaipur",hanuman nagar, Hanuman Nagar,2400000.0,5333.0,450,2.0,1.0,Built-up Area,1 Covered + 1 Open,1.0,1.0,,0.0,0.0,0.0,0.0,unfurnished,Ready To Move,,,,https://www.squareyards.com/resale-2-bhk-450-sq-ft-independent-house-in-sky-palacio/9786826,"Construct your future in Hanuman Nagar, Jaipur, with this newly built independent house priced at 24 lakh.This unfurnished property spans 450 square feet and offers a clear road view, making it a bright prospect for homebuyers.It features 2 bedrooms and 1 bathroom, complemented by a dedicated parking space for your convenience.Being only 0-1 year old, this house is ready for",450.0
,house,"4 BHK House for Sale in Vaishali Nagar, Jaipur",vaishali nagar, Vaishali Nagar,32600000.0,9878.0,3300,4.0,3.0,Built-up Area,2 Covered + 1 Open,2.0,1.0,Pooja Room,1.0,0.0,0.0,0.0,semi-furnished,Ready To Move,,26.904824,75.748962,https://www.squareyards.com/resale-4-bhk-pooja-room-3300-sq-ft-independent-house-in-vaishali-nagar/9340321,"Looking for a home that combines a great location with a sound investment in Jaipur Vaishali Nagar.This semi-furnished independent house is ready for new owners, offering four bedrooms and three bathrooms spread across a spacious 3300 square feet. Built by a reputed builder, you'll appreciate the security and convenience of this safe and secure locality, with an attached market and",3300.0
,house,"2 BHK House for Sale in Agra Road, Jaipur",agra road, Agra Road,2640000.0,3410.0,774,2.0,2.0,Built-up Area,1 Covered + 1 Open,1.0,1.0,,0.0,0.0,0.0,0.0,semi-furnished,Ready To Move,Marble Flooring,26.910886,75.836321,https://www.squareyards.com/resale-2-bhk-86-sq-yd-independent-house-in-agra-road/9600359,"Consider making Agra Road in Jaipur your new home with this appealing two-bedroom, two-bathroom independent house, now on sale for 26.4 lakh.Spanning 86 square yards, this semi-furnished property offers a peaceful garden view, perfect for unwinding after a long day. Built between 5 to 7 years ago, it provides a sense of established comfort. Inside, you will find two well-proportioned",774.0
,house,"4 BHK House for Sale in Mansarovar, Jaipur",mansarovar, Mansarovar,17000000.0,13600.0,1250,4.0,3.0,Plot Area,1 Covered Parking,1.0,0.0,,0.0,0.0,0.0,0.0,unfurnished,Ready To Move,Marble Flooring,26.8557115,75.7730868,https://www.squareyards.com/resale-4-bhk-1250-sq-ft-independent-house-in-mansarovar/9273856,"A spacious 1250 square feet, 4-bedroom, 3-bathroom independent house in Mansarovar, Jaipur, is now available for sale at 1.7 crore, perfect for families looking for a comfortable home in a prime location.This unfurnished property, built on freehold land, offers a parking space and sits within a 2-story building, suggesting a well-established neighborhood with schools nearby, ideal for those prioritizing convenience",875.0
,house,"6+ BHK House for Sale in Vaishali Nagar, Jaipur",vaishali nagar, Vaishali Nagar,45100000.0,8275.0,5450,6.0,6.0,Built-up Area,2 Covered + 1 Open,2.0,1.0,,0.0,0.0,0.0,0.0,furnished,Ready To Move,,26.93031587442137,75.72984840720892,https://www.squareyards.com/resale-6-bhk-5450-sq-ft-independent-house-in-dream-kothi-loins-lane/9454874,"Imagine a life of luxury and convenience in this newly constructed, fully furnished 6+ bedroom independent house in Jaipur Vaishali Nagar, boasting an expansive 5450 square feet.This stunning property, facing the road, offers abundant space for a growing family or for entertaining guests, with room for up to two cars in its dedicated parking spots. Residents will enjoy a plethora",5450.0
,house,"3 BHK House for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,2900000.0,6444.0,450,3.0,2.0,Built-up Area,1 Covered + 1 Open,1.0,1.0,Extra Room,0.0,0.0,0.0,1.0,semi-furnished,Ready To Move,,26.92490502778096,75.71296826004982,https://www.squareyards.com/resale-3-bhk-extra-room-50-sq-yd-independent-house-in-sirsi-road/9241137,"Find your ideal family home on Sirsi Road in Jaipur with this newly built, semi-furnished independent house, priced at just 29 Lac.Spread across 50 square yards with a road view, this Vastu-compliant house boasts three bedrooms and two bathrooms, perfect for comfortable living. It features one dedicated parking spot and sits within a peaceful vicinity, offering a serene environment for",450.0
,house,"2 BHK House for Sale in Jagatpura, Jaipur",jagatpura, Jagatpura,5200000.0,10699.0,486,2.0,1.0,Saleable Area,1 Open Parking,0.0,1.0,,0.0,0.0,0.0,0.0,semi-furnished,Ready To Move,Marble Flooring,26.804439519726994,75.876085460186,https://www.squareyards.com/resale-2-bhk-54-sq-yd-independent-house-in-jagatpura/9169718,"Consider a peaceful life in this semi-furnished two-bedroom independent house in Jaipur Jagatpura area, priced at 52 lakh.This home is designed with Vastu compliance and is situated in a prime location known for its safety and security. Spread across 54 square yards, the house offers a spacious layout and a touch of luxury, perfect for those looking for a comfortable",422.0
Uttam Shyamashish Park,house,"2 BHK House for Sale in Ajmer Road, Jaipur",ajmer road, Ajmer Road,15100000.0,4793.0,3150,2.0,2.0,Built-up Area,3 Covered Parking,3.0,0.0,Pooja Room,1.0,0.0,0.0,0.0,semi-furnished,Under Construction,,,,https://www.squareyards.com/resale-2-bhk-pooja-room-350-sq-yd-independent-house-in-uttam-shyamashish-park/9021316,"Consider a move to Jaipur Ajmer Road for a life filled with conveniences, where Uttam Shyamashish Park presents a semi-furnished independent house with 2 bedrooms and 2 bathrooms, all for 1.51 crore.This home is spread across 350 square yards and faces the road, offering a pleasant view. You'll have plenty of space with parking for 3 cars. The community boasts",3150.0
,house,"5 BHK House for Sale in Vaishali Nagar, Jaipur",vaishali nagar, Vaishali Nagar,32500000.0,19208.0,1692,5.0,5.0,Built-up Area,1 Covered + 1 Open,1.0,1.0,Study Room,0.0,0.0,1.0,0.0,unfurnished,Ready To Move,,26.91156288342929,75.74407987296581,https://www.squareyards.com/resale-5-bhk-study-room-188-sq-yd-independent-house-in-vaishali-nagar/9245262,"Consider a life of elevated living in Jaipur Vaishali Nagar with this grand, unfurnished independent house, now available for sale at 3.25 crore.Spanning an impressive 188 square yards and boasting five spacious bedrooms and five bathrooms, this home is designed for comfort and ample living. The property offers a delightful park view from its balcony, perfect for enjoying the peaceful",1692.0
,house,"4 BHK House for Sale in Ajmer Road, Jaipur",ajmer road, Ajmer Road,9000000.0,11363.0,792,4.0,4.0,Built-up Area,2 Covered + 1 Open,2.0,1.0,,0.0,0.0,0.0,0.0,unfurnished,Ready To Move,Marble Flooring,26.8973631126541,75.7850449159741,https://www.squareyards.com/resale-4-bhk-88-sq-yd-independent-house-in-122-sector-mansarovar-jai/8993623,"Start your new chapter in Jaipur Mansarovar Sector 122 with this unfurnished 4-bedroom, 4-bathroom independent house, available for 90 lac.Situated in a prime, gated society with a park view, this home offers a comfortable and secure environment for your family. Spread across 88 square yards, this property is conveniently located near the city center, making daily commutes and access to",792.0
,house,"4 BHK House for Sale in Vaishali Nagar, Jaipur",vaishali nagar, Vaishali Nagar,24100000.0,19404.0,1242,4.0,5.0,Plot Area,1 Covered + 1 Open,1.0,1.0,Pooja Room,1.0,0.0,0.0,0.0,furnished,Ready To Move,,26.889932883043823,75.72211023420095,https://www.squareyards.com/resale-4-bhk-pooja-room-138-sq-yd-independent-house-in-vaishali-nagar/9072364,"This furnished 4-bedroom independent house in Jaipur Vaishali Nagar offers a luxurious lifestyle with its expansive 138 square yards of living space.Priced at 2.41 crore, this Vastu-compliant home boasts five bathrooms, a garden view, and includes one dedicated parking spot. You will appreciate the convenience of high-speed elevators, pre-schools, and medical facilities nearby, along with a large green area for",869.4
,house,"3 BHK House for Sale in Jagatpura, Jaipur",jagatpura, Jagatpura,11000000.0,7362.0,1494,3.0,2.0,Built-up Area,2 Covered + 1 Open,2.0,1.0,,0.0,0.0,0.0,0.0,semi-furnished,,Concrete Flooring,26.778056877950423,75.91438673436642,https://www.squareyards.com/resale-3-bhk-166-sq-yd-independent-house-in-jagatpura/8800343,"Discover your dream home in the serene locality of Jagatpura, Jaipur, with this stunning independent house available for sale at a breakthrough price of 1.1 Cr.Spanning an impressive area of 166 square yards, this property boasts a prime location with a peaceful vicinity, perfect for families seeking tranquility without compromising on accessibility. The house is thoughtfully designed to be Vastu",1494.0
,house,"3 BHK House for Sale in Hathod, Jaipur",kalwar road, Hathod,7200000.0,4800.0,1500,3.0,3.0,Built-up Area,1 Covered + 1 Open,1.0,1.0,Pooja Room,1.0,0.0,0.0,0.0,semi-furnished,Ready To Move,,26.963318777494827,75.67992579191923,https://www.squareyards.com/resale-3-bhk-pooja-room-1500-sq-ft-independent-house-in-hathod/9839073,"This independent house in Hathod, Jaipur, offers a compelling investment opportunity with its strategic location and comprehensive amenities.Priced at 72 lac, this semi-furnished 1500 square feet property features 3 bedrooms and 3 bathrooms, with ample space for comfortable living or for rental income.The house boasts a road view and comes with a dedicated parking space for one vehicle, ensuring convenience",1500.0
,house,"5 BHK House for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,34500000.0,6900.0,5000,5.0,6.0,Built-up Area,2 Covered + 2 Open,2.0,2.0,Pooja Room +2,1.0,0.0,0.0,2.0,furnished,Ready To Move,,26.9213210696244,75.7297981157899,https://www.squareyards.com/resale-5-bhk-pooja-room-study-room-extra-room-5000-sq-ft-independent-house-in-jaipur-property-ndream-ho/9690496,"This furnished independent house in Sirsi Road, Jaipur, presents a compelling investment opportunity with its 5 bedrooms, 6 bathrooms, and 2 parking spaces, spread across a generous 5000 square feet.Priced at 3.45 crore, this property boasts a community view and offers an extensive list of amenities designed for a luxurious and convenient lifestyle, including a gymnasium, kids` play areas, central",5000.0
,house,"3 BHK House for Sale in Jaipur Ajmer Express Highway, Jaipur",ajmer road, Jaipur Ajmer Express Highway,20000000.0,13386.0,1494,3.0,2.0,Built-up Area,1 Covered + 1 Open,1.0,1.0,Extra Room,0.0,0.0,0.0,1.0,semi-furnished,Ready To Move,,26.8887920966437,75.768539942801,https://www.squareyards.com/resale-3-bhk-extra-room-166-sq-yd-independent-house-in-jaipur-ajmer-express-highway/9864304,"Discover a compelling investment opportunity with this independent house for sale in Vivak Vihar, Jaipur, priced at 2 crore.Spanning 166 square yards, this semi-furnished property offers three bedrooms and two bathrooms, making it an ideal choice for families or as a rental income generator.The house faces a road view and benefits from a prime location near the city center, ensuring",1494.0
Ansal Sushant City,house,"3 BHK House for Sale in Nari Ka Bas, Jaipur",other, Nari Ka Bas,8200000.0,3904.0,2100,3.0,3.0,Built-up Area,1 Covered + 1 Open,1.0,1.0,Pooja Room +2,1.0,0.0,0.0,2.0,semi-furnished,Ready To Move,,,,https://www.squareyards.com/resale-3-bhk-pooja-room-study-room-extra-room-2100-sq-ft-independent-house-in-ansal-sushant-city/9877779,111 Gaj 3 BHK Full duplex Ansal shushant city 1 MPS school ke samne ganpati 11 shubham home Rs 83 lacMob 316,2100.0
,house,"6+ BHK House for Sale in Muralipura, Jaipur",muralipura, Muralipura,17400000.0,12049.0,1444,6.0,3.0,Built-up Area,1 Covered Parking,1.0,0.0,,0.0,0.0,0.0,0.0,furnished,Ready To Move,,26.979072,75.766343,https://www.squareyards.com/resale-6-bhk-1444-sq-ft-independent-house-in-muralipura/9673834,"For those who value both space and style, this furnished 6+ bedroom independent house in Jaipur Muralipura area offers an attractive proposition at 1.74 crore.Spread across 1444 square feet, this well-maintained home provides ample room for a growing family or a group of bachelors looking for a comfortable and secure living environment. The property boasts a road view and comes",1444.0
,house,"4 BHK House for Sale in Jawahar Nagar, Jaipur",central jaipur, Jawahar Nagar,41000000.0,17083.0,2400,4.0,3.0,Plot Area,1 Covered + 1 Open,1.0,1.0,Servant Room,0.0,1.0,0.0,0.0,unfurnished,Ready To Move,,26.88928130553809,75.83604209125042,https://www.squareyards.com/resale-4-bhk-servant-room-2400-sq-ft-independent-house-in-jns44060-h4s-bchagy/9664339,"Searching for a spacious and well-located independent house in Jaipur.This unfurnished 4-bedroom, 3-bathroom property in Jawahar Nagar offers 2400 square feet of living space and a pleasant road view, perfect for a growing family. Built over two floors, this home provides ample room for everyone with a dedicated parking spot for one car. Located in a mature neighborhood with a",1680.0
,house,"2 BHK House for Sale in Hanuman Nagar, Jaipur",hanuman nagar, Hanuman Nagar,2400000.0,5333.0,450,2.0,2.0,Built-up Area,1 Covered + 1 Open,1.0,1.0,,0.0,0.0,0.0,0.0,unfurnished,Ready To Move,Marble Flooring,26.917041,75.74304,https://www.squareyards.com/resale-2-bhk-450-sq-ft-independent-house-in-hanuman-nagar/9644451,"Find a place to call your own in Hanuman Nagar, Jaipur, for 24 Lac, this unfurnished 2-bedroom, 2-bathroom independent house offers 450 square feet of space with road view and 1 dedicated parking spot.Located in a safe and secure locality with a reputed builder, this well-maintained property is a great catch in a prime location, featuring conveniences like an attached",450.0
,house,"4 BHK House for Sale in Vaishali Nagar, Jaipur",vaishali nagar, Vaishali Nagar,32500000.0,10156.0,3200,4.0,3.0,Built-up Area,1 Covered Parking,1.0,0.0,,0.0,0.0,0.0,0.0,semi-furnished,Ready To Move,,26.904824,75.748962,https://www.squareyards.com/resale-4-bhk-3200-sq-ft-independent-house-in-vaishali-nagar/9276709,4 bhk good house opp park for sale in vaishali nagar posh location only serious buyer call me,3200.0
,house,"2 BHK House for Sale in Agra Road, Jaipur",agra road, Agra Road,2550000.0,4358.0,585,2.0,2.0,Built-up Area,1 Covered + 1 Open,1.0,1.0,,0.0,0.0,0.0,0.0,semi-furnished,Ready To Move,Marble Flooring,26.910886,75.836321,https://www.squareyards.com/resale-2-bhk-65-sq-yd-independent-house-in-agra-road/9600405,"A comfortable and practical independent house with two bedrooms and two bathrooms is ready for you to make it your own on Agra Road in Jaipur for 25.5 lakh, offering a peaceful garden view and one parking space.This semi-furnished home, built within the last five to seven years, provides a serene living environment perfect for families or individuals seeking a",585.0
,house,"4 BHK House for Sale in Jagatpura, Jaipur",jagatpura, Jagatpura,14000000.0,12855.0,1089,4.0,3.0,Built-up Area,1 Covered + 1 Open,1.0,1.0,Extra Room,0.0,0.0,0.0,1.0,furnished,Ready To Move,,26.802983055747617,75.87429005652666,https://www.squareyards.com/resale-4-bhk-extra-room-121-sq-yd-independent-house-in-porwal-realty/9473266,"A remarkable 4-bedroom, 3-bathroom independent house in Jaipur Jagatpura is now available for purchase at 1.4 crore, presenting a fantastic opportunity for a family to settle into a spacious and well-appointed home.This furnished residence, built within the last year, spans 121 square yards and comes with one dedicated parking spot, ensuring convenience for residents. The property boasts an impressive array",1089.0
,house,"6+ BHK House for Sale in Vardhman Nagar, Jaipur",mansarovar, Vardhman Nagar,33000000.0,14048.0,2349,6.0,6.0,Built-up Area,2 Covered + 1 Open,2.0,1.0,Pooja Room +1,1.0,0.0,0.0,1.0,semi-furnished,Ready To Move,,26.88239361147864,75.73569528758526,https://www.squareyards.com/resale-6-bhk-pooja-room-extra-room-261-sq-yd-independent-house-in-individual-house/8928549,"Consider the comfort and space this semi-furnished independent house in Vardhman Nagar, Jaipur, can provide for You and Your family.Priced at  crore, this expansive home offers 6+ bedrooms and 2 parking spaces on a 261 Square Yards plot. The property, which is 5-7 years old, includes a variety of amenities to enhance Your living experience. You will benefit from",2349.0
,house,"5 BHK House for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,33000000.0,6804.0,4850,5.0,6.0,Built-up Area,2 Covered + 1 Open,2.0,1.0,Pooja Room,1.0,0.0,0.0,0.0,semi-furnished,Ready To Move,,26.926772144458543,75.72656203061342,https://www.squareyards.com/resale-5-bhk-pooja-room-4850-sq-ft-independent-house-in-luxury-kothi-with-lift-ne/9188923,"ULTRA LUXURIOUS 5BHK KOTHI FOR SALE

 Location: Near D-Mart, Sirsi Road, Jaipur

 Plot Size: 200  (30x60)
 East Facing  Vastu Friendly
 JDA Approved Property
 Price: 3.31 Crore


Key Features:

 5 Spacious Bedrooms with Attached Washrooms (Kids Room)
 Private Lift & Rooftop Terrace
 Ultra-Modern Interior with Premium Finishes
 Imported Modular Luxury Kitchen
 Jaguar Sanitary Fittings & RR Wire Electricals
 Fully Branded",4850.0
,house,"3 BHK House for Sale in Sumer Nagar, Jaipur",mansarovar, Sumer Nagar,5000000.0,12345.0,405,3.0,2.0,Built-up Area,1 Covered Parking,1.0,0.0,,0.0,0.0,0.0,0.0,unfurnished,Ready To Move,Marble Flooring,26.85124019282,75.7585889473557,https://www.squareyards.com/resale-3-bhk-45-sq-yd-independent-house-in-sumer-nagar/8515569,"Discover the perfect blend of comfort and affordability with this stunning independent house located in the highly soughtafter Sumer Nagar locality of Jaipur.This exquisite property, priced at just 50 lakh, offers an impressive area of 45 square yards, making it an ideal choice for families looking to settle in a safe and secure environment. The house is unfurnished, allowing you",405.0
,house,"3 BHK House for Sale in Kalwar, Jaipur",kalwar road, Kalwar,6200000.0,3100.0,2000,3.0,3.0,Built-up Area,1 Covered + 1 Open,1.0,1.0,Pooja Room,1.0,0.0,0.0,0.0,semi-furnished,Ready To Move,,26.9562876716329,75.68273305892944,https://www.squareyards.com/resale-3-bhk-pooja-room-2000-sq-ft-independent-house-in-kalwar/9364691,"For anyone dreaming of a spacious family home in Jaipurs Kalwar area, this semi-furnished independent house presents a compelling choice for sale.Priced at 62 lakh, this 2000 square feet property offers three bedrooms and three bathrooms, providing ample space for everyone. The home faces the road, giving it a pleasant view, and includes one dedicated parking spot for your convenience.",2000.0
,house,"5 BHK House for Sale in Mansarovar, Jaipur",mansarovar, Mansarovar,55100000.0,11479.0,4800,5.0,5.0,Built-up Area,2 Covered + 1 Open,2.0,1.0,Pooja Room +2,1.0,0.0,0.0,2.0,furnished,Ready To Move,,26.847941666859786,75.74213895946741,https://www.squareyards.com/resale-5-bhk-pooja-room-servant-room-study-room-4800-sq-ft-independent-house-in-mansarovar/9793197,"This furnished five-bedroom independent house in Mansarovar Extension, Jaipur, offers a substantial 4800 Square Feet of living space for a price of 5.51 crore.Built within the last year, this property presents a significant living or investment opportunity with a desirable Road View.The home is equipped with a comprehensive range of amenities designed for modern living and convenience, including extensive areas",4800.0
,house,"4 BHK House for Sale in Roop Vihar Colony, Jaipur",central jaipur, Roop Vihar Colony,21500000.0,14390.0,1494,4.0,3.0,Built-up Area,1 Covered + 1 Open,1.0,1.0,Study Room,0.0,0.0,1.0,0.0,semi-furnished,Ready To Move,,26.8867308,75.77028969999999,https://www.squareyards.com/resale-4-bhk-study-room-166-sq-yd-independent-house-in-krishna-chamber/9193683,"Here is a spacious 4-bedroom, 3-bathroom independent house for sale in Roop Vihar Colony, Jaipur, offering a prime location and the assurance of a reputed builder.This semi-furnished home spans 166 square yards and boasts a pleasant road view, making it a solid investment opportunity in a safe and secure locality. You will find convenient amenities such as kids' play areas,",1494.0
VRB The platinum,house,"3 BHK House for Sale in Kishorpura, Jaipur",kishorpura, Kishorpura,6300000.0,3500.0,1800,3.0,3.0,Built-up Area,1 Open Parking,0.0,1.0,Pooja Room +3,1.0,0.0,0.0,3.0,semi-furnished,Ready To Move,Marble Flooring,,,https://www.squareyards.com/resale-3-bhk-pooja-room-servant-room-study-room-extra-room-1800-sq-ft-independent-house-in-vrb-the-platinum/9877798,90 gaj 3 BHK Full duplex all facilities available in the villa Rs 63 lacMob 316,1800.0
